scene	predict_n	window_w	random_m	pool	keepalive_s	success_rate	median_est_ms	median_epoch	rounds	cost
main	8	0	32	1	10	1.00	405	1	5	7.8
main	8	0	32	3	10	1.00	406	1	5	9.8
main	8	0	32	6	10	1.00	404	1	5	12.8
main	8	0	64	1	10	1.00	405	1	5	14.2
main	8	0	64	3	10	1.00	406	1	5	16.2
main	8	0	64	6	10	1.00	405	1	5	19.2
main	8	0	128	1	10	1.00	404	1	5	27.0
main	8	0	128	3	10	1.00	403	1	5	29.0
main	8	0	128	6	10	1.00	403	1	5	32.0
main	8	1	32	1	10	1.00	405	1	5	11.0
main	8	1	32	3	10	1.00	406	1	5	13.0
main	8	1	32	6	10	1.00	405	1	5	16.0
main	8	1	64	1	10	1.00	406	1	5	17.4
main	8	1	64	3	10	1.00	404	1	5	19.4
main	8	1	64	6	10	1.00	406	1	5	22.4
main	8	1	128	1	10	1.00	406	1	5	30.2
main	8	1	128	3	10	1.00	406	1	5	32.2
main	8	1	128	6	10	1.00	406	1	5	35.2
main	8	2	32	1	10	1.00	407	1	5	14.2
main	8	2	32	3	10	1.00	407	1	5	16.2
main	8	2	32	6	10	1.00	406	1	5	19.2
main	8	2	64	1	10	1.00	405	1	5	20.6
main	8	2	64	3	10	1.00	407	1	5	22.6
main	8	2	64	6	10	1.00	405	1	5	25.6
main	8	2	128	1	10	1.00	407	1	5	33.4
main	8	2	128	3	10	1.00	406	1	5	35.4
main	8	2	128	6	10	1.00	407	1	5	38.4
main	8	4	32	1	10	1.00	407	1	5	20.6
main	8	4	32	3	10	1.00	407	1	5	22.6
main	8	4	32	6	10	1.00	410	1	5	25.6
main	8	4	64	1	10	1.00	408	1	5	27.0
main	8	4	64	3	10	1.00	410	1	5	29.0
main	8	4	64	6	10	1.00	406	1	5	32.0
main	8	4	128	1	10	1.00	406	1	5	39.8
main	8	4	128	3	10	1.00	405	1	5	41.8
main	8	4	128	6	10	1.00	408	1	5	44.8
main	12	0	32	1	10	1.00	406	1	5	7.8
main	12	0	32	3	10	1.00	405	1	5	9.8
main	12	0	32	6	10	1.00	403	1	5	12.8
main	12	0	64	1	10	1.00	406	1	5	14.2
main	12	0	64	3	10	1.00	405	1	5	16.2
main	12	0	64	6	10	1.00	402	1	5	19.2
main	12	0	128	1	10	1.00	406	1	5	27.0
main	12	0	128	3	10	1.00	403	1	5	29.0
main	12	0	128	6	10	1.00	405	1	5	32.0
main	12	1	32	1	10	1.00	404	1	5	12.6
main	12	1	32	3	10	1.00	405	1	5	14.6
main	12	1	32	6	10	1.00	407	1	5	17.6
main	12	1	64	1	10	1.00	406	1	5	19.0
main	12	1	64	3	10	1.00	406	1	5	21.0
main	12	1	64	6	10	1.00	409	1	5	24.0
main	12	1	128	1	10	1.00	406	1	5	31.8
main	12	1	128	3	10	1.00	409	1	5	33.8
main	12	1	128	6	10	1.00	407	1	5	36.8
main	12	2	32	1	10	0.80	406.0	1.0	5	17.4
main	12	2	32	3	10	0.20	409	1	5	19.4
main	12	2	32	6	10	1.00	408	1	5	22.4
main	12	2	64	1	10	1.00	409	1	5	23.8
main	12	2	64	3	10	1.00	407	1	5	25.8
main	12	2	64	6	10	1.00	407	1	5	28.8
main	12	2	128	1	10	1.00	406	1	5	36.6
main	12	2	128	3	10	1.00	407	1	5	38.6
main	12	2	128	6	10	1.00	405	1	5	41.6
main	12	4	32	1	10	1.00	410	1	5	27.0
main	12	4	32	3	10	1.00	409	1	5	29.0
main	12	4	32	6	10	1.00	410	1	5	32.0
main	12	4	64	1	10	1.00	408	1	5	33.4
main	12	4	64	3	10	1.00	408	1	5	35.4
main	12	4	64	6	10	1.00	411	1	5	38.4
main	12	4	128	1	10	1.00	409	1	5	46.2
main	12	4	128	3	10	1.00	412	1	5	48.2
main	12	4	128	6	10	1.00	414	1	5	51.2
main	16	0	32	1	10	1.00	404	1	5	7.8
main	16	0	32	3	10	1.00	403	1	5	9.8
main	16	0	32	6	10	1.00	405	1	5	12.8
main	16	0	64	1	10	1.00	405	1	5	14.2
main	16	0	64	3	10	1.00	403	1	5	16.2
main	16	0	64	6	10	1.00	406	1	5	19.2
main	16	0	128	1	10	1.00	402	1	5	27.0
main	16	0	128	3	10	1.00	403	1	5	29.0
main	16	0	128	6	10	1.00	406	1	5	32.0
main	16	1	32	1	10	1.00	407	1	5	14.2
main	16	1	32	3	10	1.00	406	1	5	16.2
main	16	1	32	6	10	1.00	405	1	5	19.2
main	16	1	64	1	10	1.00	407	1	5	20.6
main	16	1	64	3	10	1.00	409	1	5	22.6
main	16	1	64	6	10	1.00	406	1	5	25.6
main	16	1	128	1	10	1.00	408	1	5	33.4
main	16	1	128	3	10	1.00	405	1	5	35.4
main	16	1	128	6	10	1.00	403	1	5	38.4
main	16	2	32	1	10	1.00	409	1	5	20.6
main	16	2	32	3	10	1.00	408	1	5	22.6
main	16	2	32	6	10	1.00	410	1	5	25.6
main	16	2	64	1	10	1.00	408	1	5	27.0
main	16	2	64	3	10	1.00	409	1	5	29.0
main	16	2	64	6	10	1.00	409	1	5	32.0
main	16	2	128	1	10	1.00	409	1	5	39.8
main	16	2	128	3	10	1.00	407	1	5	41.8
main	16	2	128	6	10	1.00	407	1	5	44.8
main	16	4	32	1	10	1.00	413	1	5	33.4
main	16	4	32	3	10	1.00	411	1	5	35.4
main	16	4	32	6	10	1.00	413	1	5	38.4
main	16	4	64	1	10	1.00	412	1	5	39.8
main	16	4	64	3	10	1.00	414	1	5	41.8
main	16	4	64	6	10	1.00	420	1	5	44.8
