id	map_a	alloc_a	filt_a	map_b	alloc_b	filt_b	step_b	det_map_a	det_alloc_a	det_filt_a	det_step_a	det_map_b	det_alloc_b	det_filt_b	det_step_b	res_a	res_b	actual	est_ms_a	est_ms_b	epoch_a	epoch_b	learn_a	learn_b	pred_hits_a	pred_hits_b	keepalive_a	keepalive_b	mode_a	mode_b	expected	match	wall_ms
cone-fei_b-ei-stable	ei	stable	ei	ei	stable	ei	0	endpoint_independent	stable	endpoint_independent	0	endpoint_independent	stable	endpoint_independent	0	p2p	p2p	p2p	805	805	1	1	1	1	0	0	2	2	DirectConePunch	DirectConePunch	expected	OK	5822
cone-fei_b-ei-linear	ei	stable	ei	ei	linear	ei	3	endpoint_independent	stable	endpoint_independent	0	endpoint_independent	stable	endpoint_independent	0	p2p	p2p	p2p	803	805	1	1	1	1	0	0	2	2	DirectConePunch	DirectConePunch	expected	OK	5845
cone-fei_b-ei-random	ei	stable	ei	ei	random	ei	0	endpoint_independent	stable	endpoint_independent	0	endpoint_independent	stable	endpoint_independent	0	p2p	p2p	p2p	805	805	1	1	1	1	0	0	2	2	DirectConePunch	DirectConePunch	expected	OK	5825
cone-fei_b-ad-stable	ei	stable	ei	ad	stable	ei	0	endpoint_independent	stable	endpoint_independent	0	endpoint_independent	stable	endpoint_independent	0	p2p	p2p	p2p	801	805	1	1	2	1	0	0	2	2	DirectConePunch	DirectConePunch	expected	OK	5826
cone-fei_b-ad-linear	ei	stable	ei	ad	linear	ei	3	endpoint_independent	stable	endpoint_independent	0	address_dependent	linear	endpoint_independent	6	p2p	p2p	p2p	806	807	1	1	3	1	0	0	2	2	ConePunchToLinearSymmeric	LinearSymmericPunchToCone	expected	OK	5835
cone-fei_b-ad-random	ei	stable	ei	ad	random	ei	0	endpoint_independent	stable	endpoint_independent	0	address_dependent	linear	endpoint_independent	-761	p2p	p2p	p2p	802	803	1	1	3	1	0	0	2	2	ConePunchToLinearSymmeric	LinearSymmericPunchToCone	expected	OK	5823
cone-fei_b-apd-stable	ei	stable	ei	apd	stable	ei	0	endpoint_independent	stable	endpoint_independent	0	endpoint_independent	stable	endpoint_independent	0	p2p	p2p	p2p	805	805	1	1	2	1	0	0	2	2	DirectConePunch	DirectConePunch	expected	OK	5816
cone-fei_b-apd-linear	ei	stable	ei	apd	linear	ei	3	endpoint_independent	stable	endpoint_independent	0	address_port_dependent	linear	endpoint_independent	3	p2p	p2p	p2p	807	806	1	1	3	1	0	0	2	2	ConePunchToLinearSymmeric	LinearSymmericPunchToCone	expected	OK	5840
cone-fei_b-apd-random	ei	stable	ei	apd	random	ei	0	endpoint_independent	stable	endpoint_independent	0	address_port_dependent	random	endpoint_independent	0	p2p	p2p	p2p	1244	1065	1	1	3	3	0	0	2	2	ConePunchToRandomSymmeric	RandomSymmericPunchToCone	expected	OK	6264
cone-fad_b-ei-stable	ei	stable	ad	ei	stable	ei	0	endpoint_independent	stable	address_dependent	0	endpoint_independent	stable	endpoint_independent	0	p2p	p2p	p2p	801	803	1	1	1	1	0	0	2	2	DirectConePunch	DirectConePunch	expected	OK	6453
cone-fad_b-ei-linear	ei	stable	ad	ei	linear	ei	3	endpoint_independent	stable	address_dependent	0	endpoint_independent	stable	endpoint_independent	0	p2p	p2p	p2p	806	805	1	1	1	1	0	0	2	2	DirectConePunch	DirectConePunch	expected	OK	6441
cone-fad_b-ei-random	ei	stable	ad	ei	random	ei	0	endpoint_independent	stable	address_dependent	0	endpoint_independent	stable	endpoint_independent	0	p2p	p2p	p2p	805	805	1	1	1	1	0	0	2	2	DirectConePunch	DirectConePunch	expected	OK	6425
cone-fad_b-ad-stable	ei	stable	ad	ad	stable	ei	0	endpoint_independent	stable	address_dependent	0	endpoint_independent	stable	endpoint_independent	0	p2p	p2p	p2p	803	801	1	1	2	1	0	0	2	2	DirectConePunch	DirectConePunch	expected	OK	6466
cone-fad_b-ad-linear	ei	stable	ad	ad	linear	ei	3	endpoint_independent	stable	address_dependent	0	address_dependent	linear	endpoint_independent	3	p2p	p2p	p2p	807	807	1	1	3	1	0	0	2	2	ConePunchToLinearSymmeric	LinearSymmericPunchToCone	expected	OK	6459
cone-fad_b-ad-random	ei	stable	ad	ad	random	ei	0	endpoint_independent	stable	address_dependent	0	address_dependent	linear	endpoint_independent	-761	p2p	p2p	p2p	800	806	1	1	3	1	0	0	2	2	ConePunchToLinearSymmeric	LinearSymmericPunchToCone	expected	OK	6444
cone-fad_b-apd-stable	ei	stable	ad	apd	stable	ei	0	endpoint_independent	stable	address_dependent	0	endpoint_independent	stable	endpoint_independent	0	p2p	p2p	p2p	804	802	1	1	2	1	0	0	2	2	DirectConePunch	DirectConePunch	expected	OK	6441
cone-fad_b-apd-linear	ei	stable	ad	apd	linear	ei	3	endpoint_independent	stable	address_dependent	0	address_port_dependent	linear	endpoint_independent	3	p2p	p2p	p2p	806	807	1	1	3	1	0	0	2	2	ConePunchToLinearSymmeric	LinearSymmericPunchToCone	expected	OK	6442
cone-fad_b-apd-random	ei	stable	ad	apd	random	ei	0	endpoint_independent	stable	address_dependent	0	address_port_dependent	random	endpoint_independent	0	p2p	p2p	p2p	1281	1071	1	1	3	1	0	0	2	2	ConePunchToRandomSymmeric	RandomSymmericPunchToCone	expected	OK	6920
cone-fapd_b-ei-stable	ei	stable	apd	ei	stable	ei	0	endpoint_independent	stable	address_port_dependent	0	endpoint_independent	stable	endpoint_independent	0	p2p	p2p	p2p	805	802	1	1	1	1	0	0	2	2	DirectConePunch	DirectConePunch	expected	OK	7963
cone-fapd_b-ei-linear	ei	stable	apd	ei	linear	ei	3	endpoint_independent	stable	address_port_dependent	0	endpoint_independent	stable	endpoint_independent	0	p2p	p2p	p2p	802	805	1	1	1	1	0	0	2	2	DirectConePunch	DirectConePunch	expected	OK	7951
cone-fapd_b-ei-random	ei	stable	apd	ei	random	ei	0	endpoint_independent	stable	address_port_dependent	0	endpoint_independent	stable	endpoint_independent	0	p2p	p2p	p2p	802	805	1	1	1	1	0	0	2	2	DirectConePunch	DirectConePunch	expected	OK	7956
cone-fapd_b-ad-stable	ei	stable	apd	ad	stable	ei	0	endpoint_independent	stable	address_port_dependent	0	endpoint_independent	stable	endpoint_independent	0	firewall	firewall	fail	None	None	10	10	0	0	0	0	0	0	DirectConePunch	DirectConePunch	NA	NA	13186
cone-fapd_b-ad-linear	ei	stable	apd	ad	linear	ei	3	endpoint_independent	stable	address_port_dependent	0	address_dependent	linear	endpoint_independent	6	firewall	p2p	fail	None	805	10	1	0	1	0	0	0	2	ConePunchToLinearSymmeric	LinearSymmericPunchToCone	NA	NA	13159
cone-fapd_b-ad-random	ei	stable	apd	ad	random	ei	0	endpoint_independent	stable	address_port_dependent	0	address_dependent	linear	endpoint_independent	-624	firewall	p2p	fail	None	806	10	1	0	1	0	0	0	2	ConePunchToLinearSymmeric	LinearSymmericPunchToCone	NA	NA	13148
cone-fapd_b-apd-stable	ei	stable	apd	apd	stable	ei	0	endpoint_independent	stable	address_port_dependent	0	endpoint_independent	stable	endpoint_independent	0	firewall	firewall	fail	None	None	10	10	0	0	0	0	0	0	DirectConePunch	DirectConePunch	NA	NA	13129
