id	map_a	alloc_a	filt_a	map_b	alloc_b	filt_b	note	det_map_a	det_alloc_a	det_filt_a	det_map_b	det_alloc_b	det_filt_b	res_a	res_b	actual	est_ms_a	est_ms_b	step_final_a	step_final_b	rev_a	rev_b	pred_hits_a	pred_hits_b	pool_a	pool_b	pattern_a	pattern_b	conf_oh_a	conf_oh_b	drift_a	drift_b	expected	match	wall_ms
p2-b-ei-stable	ei	stable	ei	ei	stable	ei	low-frequency stable	endpoint_independent	stable	endpoint_independent	endpoint_independent	stable	endpoint_independent	p2p	p2p	p2p	803	806	1	1	0	0	0	0	1	1	forward	forward	0	0	0	0	expected	OK	5819
p2-b-ei-linear	ei	stable	ei	ei	linear	ei	B 侧全交叉	endpoint_independent	stable	endpoint_independent	endpoint_independent	stable	endpoint_independent	p2p	p2p	p2p	801	805	1	1	0	0	0	0	1	1	forward	forward	0	0	0	0	expected	OK	5822
p2-b-ei-random	ei	stable	ei	ei	random	ei	B 侧全交叉	endpoint_independent	stable	endpoint_independent	endpoint_independent	stable	endpoint_independent	p2p	p2p	p2p	805	804	1	1	0	0	0	0	1	1	forward	forward	0	0	0	0	expected	OK	5833
p2-b-ad-stable	ei	stable	ei	ad	stable	ei	low-frequency stable	endpoint_independent	stable	endpoint_independent	endpoint_independent	stable	endpoint_independent	p2p	p2p	p2p	806	806	1	1	0	0	0	0	1	1	forward	forward	1	1	0	0	expected	OK	7027
p2-b-ad-linear	ei	stable	ei	ad	linear	ei	B 侧全交叉	endpoint_independent	stable	endpoint_independent	address_dependent	linear	endpoint_independent	p2p	p2p	p2p	807	806	6	1	1	0	0	0	1	2	forward	forward	0	0	0	0	expected	OK	5823
p2-b-ad-random	ei	stable	ei	ad	random	ei	B 侧全交叉	endpoint_independent	stable	endpoint_independent	address_dependent	linear	endpoint_independent	p2p	p2p	p2p	803	803	64912	1	1	0	0	0	1	2	forward	forward	0	6	4	0	expected	OK	5842
p2-b-apd-stable	ei	stable	ei	apd	stable	ei	low-frequency stable	endpoint_independent	stable	endpoint_independent	endpoint_independent	stable	endpoint_independent	p2p	p2p	p2p	806	806	1	1	0	0	0	0	1	1	forward	forward	0	0	0	0	expected	OK	7045
p2-b-apd-linear	ei	stable	ei	apd	linear	ei	B 侧全交叉	endpoint_independent	stable	endpoint_independent	address_port_dependent	linear	endpoint_independent	p2p	p2p	p2p	806	807	3	1	1	0	0	0	1	2	forward	forward	0	0	0	0	expected	OK	5830
p2-b-apd-random	ei	stable	ei	apd	random	ei	B 侧全交叉	endpoint_independent	stable	endpoint_independent	address_port_dependent	random	endpoint_independent	p2p	p2p	p2p	1220	1036	1	1	0	0	0	0	129	129	forward	forward	0	20	124	138	expected	OK	6253
p2-fei-b-ei-linear	ei	stable	ei	ei	linear	ei	filtering 变体	endpoint_independent	stable	endpoint_independent	endpoint_independent	stable	endpoint_independent	p2p	p2p	p2p	805	804	1	1	0	0	0	0	1	1	forward	forward	0	0	0	0	expected	OK	5831
p2-fei-b-apd-linear	ei	stable	ei	apd	linear	ei	filtering 变体	endpoint_independent	stable	endpoint_independent	address_port_dependent	linear	endpoint_independent	p2p	p2p	p2p	806	805	3	1	1	0	0	0	1	2	forward	forward	0	0	2	0	expected	OK	5837
p2-fei-b-apd-random	ei	stable	ei	apd	random	ei	filtering 变体	endpoint_independent	stable	endpoint_independent	address_port_dependent	random	endpoint_independent	p2p	p2p	p2p	1667	1393	1	1	0	0	0	0	129	129	forward	forward	0	34	193	198	expected	OK	6712
p2-fad-b-ei-linear	ei	stable	ad	ei	linear	ei	filtering 变体	endpoint_independent	stable	address_dependent	endpoint_independent	stable	endpoint_independent	p2p	p2p	p2p	805	806	1	1	0	0	0	0	1	1	forward	forward	0	0	0	0	expected	OK	6129
p2-fad-b-apd-linear	ei	stable	ad	apd	linear	ei	filtering 变体	endpoint_independent	stable	address_dependent	address_port_dependent	linear	endpoint_independent	p2p	p2p	p2p	810	810	3	1	1	0	0	0	1	2	forward	forward	0	1	2	0	expected	OK	6145
p2-fad-b-apd-random	ei	stable	ad	apd	random	ei	filtering 变体	endpoint_independent	stable	address_dependent	address_port_dependent	random	endpoint_independent	p2p	p2p	p2p	2332	1658	1	1	0	0	0	0	129	129	forward	forward	18	7	130	79	expected	OK	7682
p2-fapd-b-ei-linear	ei	stable	apd	ei	linear	ei	filtering 变体	endpoint_independent	stable	address_port_dependent	endpoint_independent	stable	endpoint_independent	p2p	p2p	p2p	805	806	1	1	0	0	0	0	1	1	forward	forward	0	0	0	0	expected	OK	7435
p2-fapd-b-apd-linear	ei	stable	apd	apd	linear	ei	filtering 变体	endpoint_independent	stable	address_port_dependent	address_port_dependent	linear	endpoint_independent	firewall	p2p	fail	None	802	0	1	0	0	0	0	1	2	None	forward	None	0	0	0	unexpected	OK	12544
p2-fapd-b-apd-random	ei	stable	apd	apd	random	ei	filtering 变体	endpoint_independent	stable	address_port_dependent	address_port_dependent	random	endpoint_independent	p2p	p2p	p2p	1279	1046	1	1	0	0	0	0	129	129	forward	forward	0	0	1038	50	NA	NA	7843
p2-sym0	apd	linear	ei	apd	linear	ei	对称关键	address_port_dependent	linear	endpoint_independent	address_port_dependent	linear	endpoint_independent	p2p	p2p	p2p	803	802	3	3	1	1	0	0	2	2	forward	forward	0	0	11	9	expected	OK	5825
p2-sym1	ad	linear	ei	ad	linear	ei	对称关键	address_dependent	linear	endpoint_independent	address_dependent	linear	endpoint_independent	p2p	p2p	p2p	805	807	3	6	1	1	0	0	2	2	forward	forward	0	0	4	4	expected	OK	5832
p2-sym2	ei	linear	ei	apd	linear	ei	对称关键	endpoint_independent	stable	endpoint_independent	address_port_dependent	linear	endpoint_independent	p2p	p2p	p2p	802	804	3	1	1	0	0	0	1	2	forward	forward	0	1	2	0	expected	OK	5822
p2-sym3	apd	random	ei	apd	random	ei	对称关键	address_port_dependent	random	endpoint_independent	address_port_dependent	random	endpoint_independent	p2p	p2p	p2p	1794	1785	1	1	0	0	0	0	129	129	forward	forward	97	0	509	351	expected	OK	6845
p2-sym4	ei	random	ei	apd	random	ei	对称关键	endpoint_independent	stable	endpoint_independent	address_port_dependent	random	endpoint_independent	p2p	p2p	p2p	1538	1186	1	1	0	0	0	0	129	129	forward	forward	0	24	138	42	expected	OK	6625
p2-sym5	ei	random	ei	ei	random	ei	对称关键	endpoint_independent	stable	endpoint_independent	endpoint_independent	stable	endpoint_independent	p2p	p2p	p2p	806	806	1	1	0	0	0	0	1	1	forward	forward	0	0	0	0	expected	OK	5878
p2-filt-ei	apd	linear	apd	ei	linear	ei	filtering 三态注入验证	address_port_dependent	linear	address_port_dependent	endpoint_independent	stable	endpoint_independent	p2p	p2p	p2p	812	807	1	3	0	1	0	0	2	1	forward	forward	1	0	0	2	expected	OK	7373
p2-filt-ad	apd	linear	apd	ei	linear	ad	filtering 三态注入验证	address_port_dependent	linear	address_port_dependent	endpoint_independent	stable	address_dependent	p2p	p2p	p2p	809	806	1	3	0	1	0	0	2	1	forward	forward	0	0	0	2	expected	OK	7342
p2-filt-apd	apd	linear	apd	ei	linear	apd	filtering 三态注入验证	address_port_dependent	linear	address_port_dependent	endpoint_independent	stable	address_port_dependent	p2p	firewall	fail	1615	None	1	0	0	0	0	0	3	1	forward	None	9	None	0	0	unexpected	OK	13413
p2-hp11	ei	stable	ei	ei	linear	ei	hairpin 注入验证	endpoint_independent	stable	endpoint_independent	endpoint_independent	stable	endpoint_independent	p2p	p2p	p2p	805	805	1	1	0	0	0	0	1	1	forward	forward	0	0	0	0	expected	OK	5809
p2-hp10	ei	stable	ei	ei	linear	ei	hairpin 注入验证	endpoint_independent	stable	endpoint_independent	endpoint_independent	stable	endpoint_independent	p2p	p2p	p2p	802	804	1	1	0	0	0	0	1	1	forward	forward	0	0	0	0	expected	OK	7026
p2-hp01	ei	stable	ei	ei	linear	ei	hairpin 注入验证	endpoint_independent	stable	endpoint_independent	endpoint_independent	stable	endpoint_independent	p2p	p2p	p2p	806	803	1	1	0	0	0	0	1	1	forward	forward	1	0	0	0	expected	OK	6117
p2-hp00	ei	stable	ei	ei	linear	ei	hairpin 注入验证	endpoint_independent	stable	endpoint_independent	endpoint_independent	stable	endpoint_independent	p2p	p2p	p2p	806	806	1	1	0	0	0	0	1	1	forward	forward	0	0	0	0	expected	OK	7021
