session	side	result	establish_ms	strategy	predict_hit	hit_offset	step_final	step_revisions	pool_sockets	budget_split	confirmation_overhead	mapping_drift_count	pattern	firewall	mapping	allocation	filtering	filtering_state	hairpin
p2-b-ad-linear	A	p2p	807	ConePunchToLinearSymmeric	0		6	1	1		0	0	forward		endpoint_independent	stable	endpoint_independent	allow	supported
p2-b-ad-linear	B	p2p	806	LinearSymmericPunchToCone	0		1	0	2		0	0	forward		address_dependent	linear	endpoint_independent	allow	supported
p2-b-ad-random	A	p2p	803	ConePunchToLinearSymmeric	0		64912	1	1		0	4	forward		endpoint_independent	stable	endpoint_independent	allow	supported
p2-b-ad-random	B	p2p	803	LinearSymmericPunchToCone	0		1	0	2		6	0	forward		address_dependent	linear	endpoint_independent	allow	supported
p2-b-ad-stable	A	p2p	806	DirectConePunch	0		1	0	1		1	0	forward		endpoint_independent	stable	endpoint_independent	allow	supported
p2-b-ad-stable	B	p2p	806	DirectConePunch	0		1	0	1		1	0	forward		endpoint_independent	stable	endpoint_independent	allow	unknown
p2-b-apd-linear	A	p2p	806	ConePunchToLinearSymmeric	0		3	1	1		0	0	forward		endpoint_independent	stable	endpoint_independent	allow	supported
p2-b-apd-linear	B	p2p	807	LinearSymmericPunchToCone	0		1	0	2		0	0	forward		address_port_dependent	linear	endpoint_independent	allow	supported
p2-b-apd-random	A	p2p	1220	ConePunchToRandomSymmeric	0		1	0	129	{"exact": 13.0, "random": 12.8, "sweep": 1638.4}	0	124	forward		endpoint_independent	stable	endpoint_independent	allow	supported
p2-b-apd-random	B	p2p	1036	RandomSymmericPunchToCone	0		1	0	129	{"exact": 0.2, "random": 12.8, "sweep": 1638.4}	20	138	forward		address_port_dependent	random	endpoint_independent	allow	supported
p2-b-apd-stable	A	p2p	806	DirectConePunch	0		1	0	1		0	0	forward		endpoint_independent	stable	endpoint_independent	allow	supported
p2-b-apd-stable	B	p2p	806	DirectConePunch	0		1	0	1		0	0	forward		endpoint_independent	stable	endpoint_independent	allow	unknown
p2-b-ei-linear	A	p2p	801	DirectConePunch	0		1	0	1		0	0	forward		endpoint_independent	stable	endpoint_independent	allow	supported
p2-b-ei-linear	B	p2p	805	DirectConePunch	0		1	0	1		0	0	forward		endpoint_independent	stable	endpoint_independent	allow	supported
p2-b-ei-random	A	p2p	805	DirectConePunch	0		1	0	1		0	0	forward		endpoint_independent	stable	endpoint_independent	allow	supported
p2-b-ei-random	B	p2p	804	DirectConePunch	0		1	0	1		0	0	forward		endpoint_independent	stable	endpoint_independent	allow	supported
p2-b-ei-stable	A	p2p	803	DirectConePunch	0		1	0	1		0	0	forward		endpoint_independent	stable	endpoint_independent	allow	supported
p2-b-ei-stable	B	p2p	806	DirectConePunch	0		1	0	1		0	0	forward		endpoint_independent	stable	endpoint_independent	allow	supported
p2-fad-b-apd-linear	A	p2p	810	ConePunchToLinearSymmeric	0		3	1	1		0	2	forward		endpoint_independent	stable	address_dependent	allow	supported
p2-fad-b-apd-linear	B	p2p	810	LinearSymmericPunchToCone	0		1	0	2		1	0	forward		address_port_dependent	linear	endpoint_independent	allow	supported
p2-fad-b-apd-random	A	p2p	2332	ConePunchToRandomSymmeric	0		1	0	129	{"exact": 13.0, "random": 12.8, "sweep": 1638.4}	18	130	forward		endpoint_independent	stable	address_dependent	allow	supported
p2-fad-b-apd-random	B	p2p	1658	RandomSymmericPunchToCone	0		1	0	129	{"exact": 0.2, "random": 12.8, "sweep": 1638.4}	7	79	forward		address_port_dependent	random	endpoint_independent	allow	supported
p2-fad-b-ei-linear	A	p2p	805	DirectConePunch	0		1	0	1		0	0	forward		endpoint_independent	stable	address_dependent	allow	supported
p2-fad-b-ei-linear	B	p2p	806	DirectConePunch	0		1	0	1		0	0	forward		endpoint_independent	stable	endpoint_independent	allow	supported
p2-fapd-b-apd-linear	A	firewall		ConePunchToLinearSymmeric	0		0	0	1			0		yes	endpoint_independent	stable	address_port_dependent	deny	supported
